x_east_dm,y_north_dm,height_dm,crown_radius_dm,ground_dm
83,3772,138,34,4155
84,1923,45,25,4182
85,1058,101,28,4359
85,2555,61,23,4176
87,844,99,22,4425
88,1354,154,48,4281
89,2393,68,17,4177
91,1772,34,15,4186
91,4619,47,20,4161
96,709,121,20,4492
96,3862,99,38,4195
97,4575,55,15,4160
98,4550,63,13,4161
101,629,133,21,4508
101,2284,70,36,4178
105,528,115,31,4559
105,1592,168,66,4214
106,2041,47,27,4175
107,1155,129,22,4343
109,3157,120,52,4163
110,386,123,29,4604
111,3005,62,25,4166
113,148,42,11,4672
115,4916,81,36,4163
116,2104,35,18,4174
117,2364,77,10,4177
118,928,141,40,4400
118,1524,185,65,4235
118,2426,61,18,4175
118,4738,66,26,4163
120,2661,139,69,4173
120,4586,56,12,4161
121,1102,128,33,4354
121,4769,64,16,4163
124,4653,65,26,4164
125,1291,142,28,4306
128,90,40,10,4683
129,3651,182,63,4152
130,982,121,33,4385
130,4384,48,22,4165
131,814,145,67,4443
134,127,45,23,4678
138,2120,40,11,4174
138,2446,70,28,4175
139,1397,181,62,4273
141,593,103,23,4543
142,1734,105,22,4189
142,2187,107,65,4176
143,1938,57,32,4180
143,3023,62,27,4165
144,1235,153,62,4324
144,3756,129,57,4161
147,4521,66,39,4163
149,4369,49,18,4166
150,106,40,19,4683
150,4038,124,54,4182
152,407,110,48,4605
152,1059,108,22,4365
153,667,159,66,4508
154,4884,76,17,4165
158,892,94,17,4422
164,2121,43,26,4174
166,1332,130,15,4296
171,452,132,32,4575
172,325,90,22,4634
172,4731,73,24,4165
175,4105,92,42,4174
176,1681,164,41,4196
176,2093,52,26,4175
177,2909,148,71,4165
177,4793,74,48,4165
179,1753,93,16,4189
180,1952,61,34,4182
181,4611,46,24,4163
183,1285,128,10,4311
184,3578,173,37,4154
187,1577,171,48,4231
187,2478,76,32,4173
189,4582,59,24,4163
192,4919,84,39,4164
193,921,70,15,4415
193,982,137,37,4391
194,794,146,37,4463
201,4249,53,14,4169
206,1113,118,48,4359
206,2075,46,30,4176
216,3697,140,48,4138
216,4003,104,17,4186
218,474,119,28,4570
218,1024,124,24,4379
218,3912,61,34,4193
221,2385,82,50,4174
221,3042,42,31,4164
221,4620,71,29,4166
222,414,102,29,4615
223,597,77,18,4543
223,3134,42,33,4163
224,3256,76,30,4164
228,-283,38,17,4715
228,1989,50,36,4180
232,314,137,64,4644
232,2240,78,34,4174
236,1344,154,42,4294
237,4248,50,20,4171
238,-346,91,28,4698
238,906,72,28,4426
239,1701,153,55,4198
240,815,135,33,4456
240,1472,166,51,4258
242,3551,116,41,4154
242,4188,55,33,4172
244,1229,137,48,4332
244,4035,109,33,4183
245,2599,96,20,4169
246,1056,83,24,4373
247,2182,70,28,4174
247,2304,96,25,4174
248,3838,64,34,4196
251,2061,50,34,4178
253,4511,45,21,4166
255,962,84,20,4408
258,2506,96,29,4170
262,1569,159,21,4236
263,3286,67,50,4163
268,-13,38,22,4721
268,1403,117,23,4281
268,2345,93,21,4173
268,4617,82,33,4167
269,2116,47,22,4175
271,1022,89,27,4386
272,-191,27,13,4721
274,742,69,20,4511
275,2459,69,24,4170
284,3897,57,31,4197
285,-60,39,22,4720
293,197,85,26,4681
293,2122,47,19,4175
294,29,55,24,4721
295,289,142,40,4659
295,885,99,20,4436
296,1354,104,21,4292
297,4237,70,27,4174
300,2628,140,35,4169
302,754,63,19,4505
304,2695,146,51,4168
305,-610,35,10,4579
305,149,50,21,4701
305,928,86,28,4429
305,1152,75,26,4350
306,536,162,60,4558
306,3709,115,36,4160
308,2289,114,55,4174
312,-349,45,24,4714
313,1266,144,56,4320
313,1511,149,39,4248
315,3879,64,29,4196
315,4598,93,39,4167
317,839,125,45,4451
317,1741,117,29,4194
322,2048,74,15,4178
323,-46,40,15,4721
324,362,124,24,4645
324,1182,71,29,4341
325,3592,104,26,4150
326,4224,75,42,4174
328,-187,28,12,4737
329,-90,39,10,4720
330,3654,129,49,4138
337,1557,155,26,4233
339,794,113,25,4470
341,438,143,51,4625
343,61,47,22,4730
346,683,84,18,4529
346,1442,97,17,4270
347,617,131,20,4537
348,-778,92,40,4554
348,4056,35,19,4185
350,954,81,18,4427
354,1225,58,13,4330
355,299,136,37,4665
355,2183,110,35,4176
356,1669,142,55,4211
358,-123,39,18,4722
358,4405,47,12,4170
359,3294,36,14,4160
361,2037,74,58,4178
362,46,38,19,4724
363,-632,84,23,4573
365,4605,91,36,4168
366,2634,151,71,4168
369,164,79,24,4704
370,2227,112,57,4175
371,1362,126,27,4294
371,3761,141,72,4182
375,-884,112,16,4513
377,4434,53,22,4170
379,4690,53,24,4171
380,1532,136,50,4242
382,972,94,15,4422
382,1095,101,38,4367
382,3697,119,31,4165
386,219,127,47,4687
388,1585,109,15,4235
388,4412,46,26,4172
389,597,117,49,4559
390,-4,43,19,4721
390,1310,125,54,4310
391,2390,99,51,4171
394,3405,100,12,4158
395,2559,126,55,4168
397,3288,42,17,4160
398,889,152,53,4435
398,3818,123,26,4195
400,-42,45,10,4721
400,778,140,52,4470
403,4431,52,18,4170
407,-152,36,22,4728
408,1442,158,46,4271
411,1942,69,41,4181
413,827,103,18,4452
414,354,174,64,4652
416,-227,37,20,4728
417,-848,123,39,4553
417,2473,104,34,4169
418,-1056,211,12,4513
420,-776,76,13,4575
422,4644,75,24,4172
423,3534,178,64,4148
424,-958,122,31,4519
424,499,118,26,4600
425,2297,131,42,4174
426,1126,112,36,4357
427,1778,154,46,4192
428,11,40,11,4722
428,4600,99,44,4171
434,-197,40,18,4727
436,1250,144,46,4328
440,966,46,18,4417
441,411,172,42,4634
445,1848,104,27,4186
447,591,121,21,4558
447,1615,172,58,4242
448,1039,141,46,4386
448,1365,156,33,4297
449,-891,115,35,4556
450,541,121,35,4577
450,3918,114,57,4195
453,-65,33,25,4729
455,2406,70,27,4172
460,3839,135,58,4196
461,660,155,59,4514
464,-806,84,17,4585
465,1156,106,18,4355
467,3769,134,35,4188
473,1208,137,28,4342
473,4443,53,28,4174
474,1672,144,36,4233
474,2716,102,50,4166
474,3435,189,73,4157
475,4270,50,33,4174
477,-1246,159,13,4563
478,817,111,50,4449
478,1082,128,33,4375
478,2559,140,67,4168
481,212,140,55,4696
482,-17,32,14,4729
482,1806,146,34,4191
482,3569,104,44,4142
488,-1105,224,84,4521
491,1299,171,56,4321
492,271,155,40,4677
492,1748,165,55,4209
493,-1186,184,39,4536
497,-833,92,12,4590
498,1434,112,35,4296
499,4648,78,38,4175
500,-191,52,36,4727
500,1531,87,34,4277
503,4613,78,26,4174
504,4114,82,27,4184
505,1940,32,18,4181
506,4028,102,38,4192
510,-886,107,44,4594
510,362,179,54,4642
511,892,151,51,4423
514,-1023,164,38,4533
515,1122,106,27,4366
517,766,142,31,4466
520,1470,100,31,4293
520,2025,57,22,4178
521,176,129,42,4709
521,1612,86,24,4259
522,604,137,31,4540
522,3635,32,14,4161
523,1847,130,29,4190
524,3854,123,38,4196
527,829,142,22,4439
527,2408,32,21,4174
529,-510,80,20,4728
530,1024,139,52,4388
530,3234,115,58,4167
540,2580,134,45,4168
541,-558,112,36,4711
541,3787,120,51,4190
541,3909,104,29,4195
541,4398,67,43,4175
543,1709,149,53,4230
543,4083,115,15,4186
544,538,112,29,4565
544,4633,64,22,4176
545,-83,43,27,4726
547,1201,139,30,4360
547,4603,64,16,4176
549,4018,107,47,4188
550,1375,128,23,4316
554,3510,121,28,4152
556,-885,74,10,4597
556,449,138,37,4600
556,4937,102,10,4176
557,281,177,64,4665
557,3394,137,24,4136
558,-706,46,14,4611
560,4795,44,25,4177
561,4525,68,29,4176
563,2325,33,20,4175
564,1134,154,37,4372
565,-1265,147,34,4535
566,717,195,53,4481
567,-516,92,34,4742
568,-1076,155,35,4535
568,1547,57,18,4282
569,1461,97,23,4301
574,642,173,47,4510
574,953,100,21,4404
574,3820,107,16,4191
575,1335,116,27,4333
576,-1002,131,31,4563
576,1926,106,39,4183
576,2069,98,42,4178
579,-1180,159,36,4524
579,216,124,48,4695
588,1858,160,54,4189
588,3294,153,62,4148
590,1624,90,21,4265
592,1411,127,35,4311
596,1070,149,39,4387
600,1769,171,61,4211
603,-166,71,17,4769
603,878,134,42,4425
606,1195,155,45,4367
606,3079,41,17,4163
608,3151,93,44,4164
611,926,87,23,4416
611,3244,147,52,4151
612,4202,66,23,4178
615,1589,87,17,4270
615,2201,180,83,4175
617,4264,91,30,4178
618,408,141,47,4607
618,984,123,38,4403
618,3439,130,43,4162
620,1137,148,32,4378
620,4086,67,24,4183
621,2467,163,64,4170
621,4351,77,37,4178
622,-120,87,36,4767
622,679,184,53,4490
623,1556,82,34,4278
624,1306,152,44,4350
625,751,177,48,4466
626,2672,200,83,4166
630,-296,97,36,4805
632,2134,153,26,4177
634,-413,97,28,4801
639,3500,155,34,4151
643,944,93,19,4416
644,4240,85,33,4179
647,-33,139,53,4752
648,4531,66,26,4179
650,4624,75,36,4179
651,-1116,84,33,4579
651,4496,61,29,4178
653,-856,166,48,4612
656,1813,114,25,4196
656,2246,121,15,4172
656,3555,165,79,4160
657,214,127,34,4704
657,2078,78,30,4179
658,536,162,48,4548
660,-269,74,17,4809
660,4402,65,39,4177
661,1733,153,51,4226
661,4275,96,34,4181
663,3980,94,40,4186
665,1204,92,21,4372
665,3746,98,37,4189
665,4031,110,53,4183
